"TMF_ID","FW_ID","PFAS_ID","Sample_type","Biomass_conversion","Regression_type","Conc_determ_method","Undetected_strategy_LOD","Undetected_strategy_LOQ","TMF_formula","TMF","TMF_lower_95CI","TMF_upper_95CI","TMF_se","TMS","TMS_lower_95CI","TMS_upper_95CI","TMS_se","TMS_calculated","TMS_se_calculated","n_samples","n_obs","tau.rho","intercept","pvalue","pvalue_adj","r","z_value","ln_TMF","ln_TMF_se","Study_ID","Ecosystem","Location","Latitude","Longitude","Latitude_DD","Longitude_DD","Species_composition","n_species","Species_highest_TL","Species_cn_highest_TL","Taxa_highest_TL","TL_calculation_method","TL_values","Breathing_type_fw","Breathing_type","TL_highest","TL_lowest","fw_length","Author_year","Note","Rd_ext","Rd_ext_done","Lm_done","Title","DOI","Journal","Study_design","TEF","TEF_unit_of_measurement","TL_calculation_baseline","IFF","Linear_regression_formula","Aggregation","Regression_variable","year_publication","Synonym","Compound_full_name","Molecular_formula","ccl","Chain_length","Class","CASRN"
"TMF_042","FW_003","NMeFOSAA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",1.2,0.85,1.5,0.331632653061225,0.1,-0.05,0.2,0.127551020408163,NA,NA,"26","",NA,"-1.3","> 0.05",NA,NA,NA,0.182321556793955,0.276360544217687,"S_002","freshwater","Europe","45°27’ N","4° 48’ E",45.45,"4.8°","fish and other species",12,"Barbus barbus","Common barbel","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","3.12-3.64, 2.1, 2.37, 1.77, 2.47-2.86, 1.92-2.91, 1.98, 2.24-2.48, 2.14, 1.96, 1.85-2.15, 1.86-2.47","not water-breathing only","Water breathing",3.64,1.77,1.87,"Simmonet-Laprade_2019","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Investigation of the spatial variability of poly-and perfluoroalkyl substance trophic magnification in selected riverine ecosystems","10.1016/j.scitotenv.2019.05.461","Science of the Total Environment","Observational. Field study.","3.4","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2019,NA,"(N-methylperfluorooctanesulfonamido)acetic acid","C11H6F17O4NS",11,"long","Precursor and/or intermediate",NA
"TMF_076","FW_005","NMeFOSAA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",2.3,1.9,2.7,0.408163265306123,0.4,0.3,0.4,0.0510204081632653,NA,NA,"15","",NA,"-2.7",NA,NA,NA,NA,0.832909122935104,0.177462289263532,"S_002","freshwater","Europe","45°31’ N","4°15’ E",45.5167,"4.25°","fish and other species",10,"Hydropsychidae ","Net spinning caddis","Insect","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","4.25-4.86, 4.48, 1.85-2.41, 2, 4.31-4.85, 5.41, 3.48-3.92, 3.7, 3.81, 2.62-2.70","not water-breathing only",NA,5.41,1.85,3.56,"Simmonet-Laprade_2019","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Investigation of the spatial variability of poly-and perfluoroalkyl substance trophic magnification in selected riverine ecosystems","10.1016/j.scitotenv.2019.05.461","Science of the Total Environment","Observational. Field study.","3.4","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2019,NA,"(N-methylperfluorooctanesulfonamido)acetic acid","C11H6F17O4NS",11,"long","Precursor and/or intermediate",NA
"TMF_093","FW_006","NMeFOSAA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",1.8,-0.12,3.7,1.94897959183673,0.3,-0.2,0.7,0.459183673469388,NA,NA,"21","",NA,"-2.5",NA,NA,NA,NA,0.587786664902119,1.0827664399093,"S_002","freshwater","Europe","43° 28’ N","5° 25’ E",43.4667,"5.4167°","fish and other species",9,"Squalius cephalus","Common chub","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2.28-3.04, 2.55-2.60, 1.88, 2.46, 2.71-2.94, 2, 1.69-2.06, 3.19, 1.42-1.94","not water-breathing only","Water breathing",3.19,1.42,1.77,"Simmonet-Laprade_2019","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Investigation of the spatial variability of poly-and perfluoroalkyl substance trophic magnification in selected riverine ecosystems","10.1016/j.scitotenv.2019.05.461","Science of the Total Environment","Observational. Field study.","3.4","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2019,NA,"(N-methylperfluorooctanesulfonamido)acetic acid","C11H6F17O4NS",11,"long","Precursor and/or intermediate",NA
"TMF_110","FW_007","NMeFOSAA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",0.5,0.5,0.6,0.0510204081632653,-0.3,-0.3,-0.2,0.0510204081632653,NA,NA,"25","",NA,"-0.1",NA,NA,NA,NA,-0.693147180559945,0.102040816326531,"S_002","freshwater","Europe","45° 42' N","5° 09' E",45.7,"5.15°","fish and other species",12,"Barbus barbus","Common barbel","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","4.02-4.39, 3.15-3.91, 3.15-3.91, 2.42, 2, 2.82, 3.3, 2.52-2.56, 2.9, 2.76, 3.5, 3.32","not water-breathing only","Water breathing",4.39,2,2.39,"Simmonet-Laprade_2019","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Investigation of the spatial variability of poly-and perfluoroalkyl substance trophic magnification in selected riverine ecosystems","10.1016/j.scitotenv.2019.05.461","Science of the Total Environment","Observational. Field study.","3.4","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2019,NA,"(N-methylperfluorooctanesulfonamido)acetic acid","C11H6F17O4NS",11,"long","Precursor and/or intermediate",NA
"TMF_154","FW_018","mm-PFOS","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",3,NA,NA,0.59,0.477121254719662,NA,NA,NA,NA,NA,"32","",NA,NA,NA,NA,NA,NA,1.09861228866811,0.196666666666667,"S_006","freshwater","North America","43° 3′ N","79° 2′ W",43.05,"-79.0333°","fish and other species",7,"Salvelinus namaycush","Lake trout","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1±0.23, 1.98±0.00, 1.8±0.01, 3.1±0.06, 2.3±0.02, 3.2±0.03, 4±0.17","not water-breathing only","Water breathing",4,1,3,"Houde_2008","It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.","No",NA,NA,"Fractionation and bioaccumulation of perfluorooctane sulfonate (PFOS) isomers in a Lake Ontario food web","10.1021/es800906r","Environmental Science & Technology","Observational. Field study.",NA,NA,"na","No","log[PFAS] = TL(slope) + intercept","No","TL",2008,NA,"Monomethylated perfluorooctanesulfonic acid","C8F17SO3H",8,"long","PFSA",NA
"TMF_155","FW_018","dm-PFOS","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",0.87,NA,NA,0.12,-0.0604807473813815,NA,NA,NA,NA,NA,"32","",NA,NA,NA,NA,NA,NA,-0.139262067333508,0.137931034482759,"S_006","freshwater","North America","43° 3′ N","79° 2′ W",43.05,"-79.0333°","fish and other species",7,"Salvelinus namaycush","Lake trout","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1±0.23, 1.98±0.00, 1.8±0.01, 3.1±0.06, 2.3±0.02, 3.2±0.03, 4±0.17","not water-breathing only","Water breathing",4,1,3,"Houde_2008","It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.","No",NA,NA,"Fractionation and bioaccumulation of perfluorooctane sulfonate (PFOS) isomers in a Lake Ontario food web","10.1021/es800906r","Environmental Science & Technology","Observational. Field study.",NA,NA,"na","No","log[PFAS] = TL(slope) + intercept","No","TL",2008,NA,"Dimethyl perfluorooctanesulfonic acid","C8F17SO3H",8,"long","PFSA",NA
"TMF_158","FW_019","mm-PFOS","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",2.8,NA,NA,0.52,0.447158031342219,NA,NA,NA,NA,NA,"32","",NA,NA,NA,NA,NA,NA,1.02961941718116,0.185714285714286,"S_006","freshwater","North America","43° 3′ N","79° 2′ W",43.05,"-79.0333°","fish and other species",5,"Salvelinus namaycush","Lake trout","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1±0.23, 1.98±0.00, 3.1±0.06, 2.3±0.02, 4±0.17","not water-breathing only","Water breathing",4,1,3,"Houde_2008","It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.","No",NA,NA,"Fractionation and bioaccumulation of perfluorooctane sulfonate (PFOS) isomers in a Lake Ontario food web","10.1021/es800906r","Environmental Science & Technology","Observational. Field study.",NA,NA,"na","No","log[PFAS] = TL(slope) + intercept","No","TL",2008,NA,"Monomethylated perfluorooctanesulfonic acid","C8F17SO3H",8,"long","PFSA",NA
"TMF_159","FW_019","dm-PFOS","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",0.77,NA,NA,0.09,-0.113509274827518,NA,NA,NA,NA,NA,"32","",NA,NA,NA,NA,NA,NA,-0.261364764134408,0.116883116883117,"S_006","freshwater","North America","43° 3′ N","79° 2′ W",43.05,"-79.0333°","fish and other species",5,"Salvelinus namaycush","Lake trout","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1±0.23, 1.98±0.00, 3.1±0.06, 2.3±0.02, 4±0.17","not water-breathing only","Water breathing",4,1,3,"Houde_2008","It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.","No",NA,NA,"Fractionation and bioaccumulation of perfluorooctane sulfonate (PFOS) isomers in a Lake Ontario food web","10.1021/es800906r","Environmental Science & Technology","Observational. Field study.",NA,NA,"na","No","log[PFAS] = TL(slope) + intercept","No","TL",2008,NA,"Dimethyl perfluorooctanesulfonic acid","C8F17SO3H",8,"long","PFSA",NA
"TMF_179","FW_023","7:3 FTCA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,"the limit value divided by two ","e^slope",0.92,NA,NA,1.21394762720682,-0.09,-0.34,0.04,0.193877551020408,NA,NA,"22","",NA,NA,NA,NA,NA,NA,-0.083381608939051,1.31950829044219,"S_009","tidal","East Asia","22° 29' N","114° 02' E",22.4833,"114.0333°","fish and other species",11,"Channa asiatica","Small snakehead","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","0.7, 2, 2.6, 3.2, 4.8, 4.8, 1.9, 5, 5.5, 3.4, 4.3","not water-breathing only","Air breathing",5.5,0.7,4.8,"Loi_2011","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Trophic magnification of poly-and perfluorinated compounds in a subtropical food web","10.1021/es200432n","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","ln[PFAS] = TL(slope) + intercept","No","TL",2011,NA,"7:3 fluorotelomer carboxylate",NA,10,"long","Precursor and/or intermediate",NA
"TMF_235","FW_027","EtFOSAA","whole-organisms only","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",1.44543977074593,NA,NA,1.13794808414324,0.16,0.11,0.22,0.0561224489795918,NA,NA,"43","",NA,NA,NA,NA,NA,NA,0.368413614879047,0.787267727908159,"S_011","freshwater","Europe","48° 40′ N","2° 21’ E",48.6667,"2.35°","fish and other species",14,"Barbus barbus","Common barbel","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","3.4, 2.7-3.1, 2.6-3, 2.6-3, 3-3.2, 2.8-3, 2.9-3.1, 3-3.5, 1.9-2.1, 2.1-2.3, 2, 1.2, 1.1, 1.0, 1.2","not water-breathing only","Water breathing",3.5,1,2.5,"Simonnet-Laprade_2019","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Biomagnification of perfluoroalkyl acids (PFAAs) in the food web of an urban river: Assessment of the trophic transfer of targeted and unknown precursors and implications.","10.1039/C9EM00322C","Environmental Science: Processes & Impacts","Observational. Field study.","3.4","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2019,NA,"2-(N-ethylperfluorooctane sulfonamido) acetic acid ","C8F17SO2N(C2H5)CH2COOH",8,"long","Precursor and/or intermediate",NA
"TMF_240","FW_028","l-FOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",0.64,0.62,0.66,0.0204081632653061,-0.193820026016113,NA,NA,NA,NA,NA,"44","","−0.177",NA,"> 0.05",NA,NA,NA,-0.446287102628419,0.0318877551020408,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear perfluorooctanesulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_241","FW_028","br-FOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",0.83,0.78,0.88,0.0510204081632653,-0.0809219076239261,NA,NA,NA,NA,NA,"44","","−0.119",NA,"> 0.05",NA,NA,NA,-0.186329578191493,0.0614703712810425,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Branched perfluorooctanesulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_246","FW_028","l-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",1.8,1.72,1.89,0.086734693877551,0.255272505103306,NA,NA,NA,NA,NA,"44","","0.112",NA,"> 0.05",NA,NA,NA,0.587786664902119,0.0481859410430839,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_247","FW_028","br-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",1.6,1.38,1.86,0.244897959183674,0.204119982655925,NA,NA,NA,NA,NA,"44","","−0.021",NA,"> 0.05",NA,NA,NA,0.470003629245736,0.153061224489796,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Branched n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_255","FW_029","l-FOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",1.84,1.33,2.54,0.61734693877551,0.264817823009536,NA,NA,NA,NA,NA,"18","","0.959",NA,"> 0.05",NA,NA,NA,0.609765571620894,0.335514640638864,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",10,"Polychaeta","Marine annelid worm","Annelids","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22","not water-breathing only","Water breathing through skin",3.22,2,1.22,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear perfluorooctanesulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_256","FW_029","l-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",2.65,1.85,3.78,0.98469387755102,0.423245873936808,NA,NA,NA,NA,NA,"18","","0.226",NA,"> 0.05",NA,NA,NA,0.974559639998131,0.371582595302272,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",10,"Polychaeta","Marine annelid worm","Annelids","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22","not water-breathing only","Water breathing through skin",3.22,2,1.22,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
